,OBJECTID,FIELD1,name,Stop_Abbr,Stop_Name,Bus_Stop_Type,Route_S_,Jurisdiction,OBJECTID.1,id,longitude,latitude
60,61,65,100152,100152,FAIR ST SW @ 1ST ST SW,Sign on Post,813,Atlanta,,,-84.42554499999994,33.74890500000004
61,62,66,100154,100154,FAIR ST @ FIRST ST,Sign on Post,813,Atlanta,,,-84.42529799999994,33.74907700000006
62,63,67,100160,100160,FAIR ST SW @ LAWTON ST SW,Sign on Post,813,Atlanta,,,-84.42336999999998,33.749010000000055
63,64,68,100162,100162,FAIR ST @ ABBOTT ST,Sign on Post,813,Atlanta,,,-84.41942599999999,33.74919100000005
64,65,69,100164,100164,MARTIN LUTHER KING J DR @ OLLIE ST,Sign on Post,3,Atlanta,,,-84.42131599999999,33.754747000000066
65,66,70,100166,100166,LUCILE AVE @ HOLDERNESS ST,Sign on Post,58,Atlanta,,,-84.42665799999997,33.74238900000006
66,67,71,100168,100168,FAIR ST SW @ JOSEPH E LOWERY BLVD,Sign on Post,813,Atlanta,,,-84.41816699999998,33.749074000000064
67,68,72,100170,100170,WESTVIEW DR SW @ WESTVIEW PL,Sign on Post,813,Atlanta,,,-84.43465599999996,33.74744000000004
68,69,73,101002,101002,LEE ST SW @ W END AV SW,Sign on Post,68,Atlanta,,,-84.41400899999996,33.74425300000007
69,70,74,101006,101006,LEE ST SW @ NORCROSS ST SW,Sign on Post,68,Atlanta,,,-84.41377599999998,33.74333800000005
70,71,75,101008,101008,W END AVE SW @ WELLBORN ST SW,Sign on Post,68,Atlanta,,,-84.41527099999996,33.74454700000007
71,72,76,101010,101010,PETERS ST SW @ HAYNES ST SW,Sign on Post,813,Atlanta,,,-84.39978499999995,33.74924100000004
72,73,77,101016,101016,ATLANTA STUDENT MOVEMENT BLVD @ WALNUT ST SW,Sign on Post,813,Atlanta,,,-84.40651399999996,33.74918200000008
73,74,78,101022,101022,ATLANTA STUDENT MOVEMENT BLVD @ LAWSHE ST SW,Sign on Post,813,Atlanta,,,-84.41031199999998,33.749397000000044
74,75,79,101024,101024,ATLANTA STUDENT MOVEMENT BLVD @ JAMES P BRAWLEY DR SW,Sign on Post,813,Atlanta,,,-84.41259899999994,33.74955600000004
75,76,80,101026,101026,ATLANTA STUDENT MOVEMENT BLVD @ MILTON ST SW,Sign on Post,813,Atlanta,,,-84.41427099999999,33.74945700000006
76,77,81,101030,101030,PETERS ST SW @ FAIR ST SW,Sign on Post,813,Atlanta,,,-84.40116099999995,33.74808500000006
77,78,82,101036,101036,ATLANTA STUDENT MOVEMENT BLVD @ WALNUT ST SW,Sign on Post,813,Atlanta,,,-84.40657799999997,33.74902000000003
78,79,83,101040,101040,ATLANTA STUDENT MOVEMENT BLVD @ ELM ST SW,Sign on Post,813,Atlanta,,,-84.40932499999997,33.74919100000005
79,80,84,101042,101042,ATLANTA STUDENT MOVEMENT BLVD @ JOHN HOPE DR SW,Sign on Post,813,Atlanta,,,-84.41065099999997,33.74919200000005
80,81,85,101044,101044,ATLANTA STUDENT MOVEMENT BLVD @ JAMES P BRAWLEY DR SW,Sign on Post,813,Atlanta,,,-84.41308599999996,33.749168000000054
81,82,86,101046,101046,ATLANTA STUDENT MOVEMENT BLVD @ MILTON ST SW,Sign on Post,813,Atlanta,,,-84.41459699999996,33.74914600000005
82,83,87,101069,101069,MARTIN L KING JR DR @ JOSEPH E LOWERY BLVD,Sign Strapped to Pole,3,Atlanta,,,-84.41773899999998,33.75467800000007
83,84,88,101092,101092,WHITEHALL ST SW @ SPRING ST SW,Sign on Post,40,Atlanta,,,-84.39904599999994,33.74608000000006
84,85,89,101096,101096,WHITEHALL ST SW @ TED TURNER DR SW,Sign on Post,40,Atlanta,,,-84.39900299999994,33.74586800000003
85,86,90,101098,101098,WHITEHALL ST SW @ 385,Sign on Post,40,Atlanta,,,-84.40055899999999,33.74530500000003
86,87,91,101100,101100,WHITEHALL ST SW @ 400,Bench,40,Atlanta,,,-84.40064299999995,33.745123000000035
87,88,92,101104,101104,WHITEHALL ST SW @ WHITEHALL TERR SW,Sign on Post,40,Atlanta,,,-84.40298999999999,33.744147000000055
