,Unnamed: 0,name,Stop_Name,Bus_Stop_Type,latitude,longitude,val_shelter,val_sign,val_seating,val_trash,val_exist,val_year,Unnamed: 12,Unnamed: 13,latitude_res,longitude_res,date,sign,shelter,trash,seating
943,137,102294,FORSYTH ST @ MARTIN L KING JR DR,Sign Strapped to Pole,33.752547,-84.393592,0.0,1.0,0.0,0.0,3,2025.0,0,0,33.75254700000005,-84.39359199999996,2025-12,0.0,0.0,0.0,0.431
946,140,102310,PEACHTREE ST NE @ EDGEWOOD AVE SE,Sign Strapped to Pole,33.754637,-84.389637,0.0,1.0,0.0,0.0,3,2025.0,0,0,33.75463700000006,-84.38963699999994,2025-03,0.0,0.806,0.0,0.763
977,179,104076,MEMORIAL DR SE @ PEARL ST SE,Shelter,33.746695,-84.361935,1.0,1.0,1.0,1.0,3,2025.0,0,0,33.746695000000045,-84.36193499999996,2025-01,0.0,0.939,0.903,0.894
978,180,104078,MEMORIAL DR SE @ PEARL ST SE,Sign on Post,33.746591,-84.361791,0.0,1.0,0.0,0.0,3,2025.0,0,0,33.74659100000002,-84.36179099999998,2025-01,0.0,0.939,0.89,0.906
1030,233,105302,LA FRANCE ST @ WHITEFOORD AVE,Sign on Post,33.760443,-84.342532,0.0,1.0,0.0,0.0,1,2017.0,0,0,33.760443000000066,-84.34253199999995,0,0.0,0.0,0.0,0.0
1037,240,105383,HOSEA L WILLIAMS DR SE @ WARREN ST SE,Shelter,33.753301,-84.326561,1.0,1.0,1.0,1.0,2,2022.0,Blurred,0,33.75330100000008,-84.32656099999997,2022-08,0.0,0.898,0.898,0.867
1109,315,106294,2ND AVE @ HOSEA L WILLIAMS DR,Sign on Post,33.750785,-84.309798,0.0,1.0,0.0,0.0,2,2025.0,0,0,33.750785000000064,-84.30979799999994,2025-01,0.0,0.468,0.0,0.0
1113,319,106310,2ND AVE @ 1900,Sign on Post,33.736534,-84.309692,0.0,1.0,0.0,0.0,2,2025.0,0,0,33.73653400000006,-84.30969199999998,0,0.0,0.0,0.0,0.0
1133,342,106424,MEMORIAL DR SE @ SPENCE AVE,Sign on Post,33.747322,-84.295959,0.0,1.0,0.0,0.0,1,2022.0,0,0,33.747322000000054,-84.29595899999998,2022-08,0.0,0.0,0.0,0.795
1154,364,113068,RALPH DAVID ABERNATH BLVD @ PEEPLES S,Sign on Post,33.73811,-84.420235,0.0,1.0,0.0,0.0,2,2025.0,0,0,33.73811000000006,-84.42023499999993,2025-02,0.0,0.433,0.0,0.0
