,name,Stop_Name,Bus_Stop_Type,latitude,longitude,val_shelter,val_sign,val_seating,val_trash,val_exist,val_year,Notes,
1220,900727,PEACHTREE ST @ JOHN PORTMAN BLVD (P'TREE CTR STATION),Sign Strapped to Pole,33.760408,-84.387695,0,1,0,0,1,2025,,
1223,900784,PEACHTREE ST @ LUCKIE ST,Sign Strapped to Pole,33.756571,-84.38841,0,1,0,1,1,2025,,
1224,900787,MARIETTA ST @ CENTENNIAL OLYMPIC PARK DR,Sign Strapped to Pole,33.75738,-84.393085,0,1,0,0,1,2025,,
1234,900890,RALPH MCGILL BLVD NE@FELTON DR NE,Sign on Post,33.763986,-84.37564,0,1,0,0,1,2025,,
1245,900943,NORTH AVE NE @ PARKWAY DR NE,Sign on Post,33.771277,-84.372648,0,1,0,0,1,2025,,
1246,900946,RALPH MCGILL BLVD NE@PARKWAY DR NE,Sign on Post,33.763933,-84.373661,0,1,0,0,1,2025,,
1247,900947,RALPH MCGILL BLVD@BOULEVARD NE,Sign Strapped to Pole,33.763879,-84.371375,0,1,0,0,1,2024,,
1251,900967,CENTENNIAL OLYMPIC PARK DR @ PINE ST NW,Sign on Post,33.767693,-84.391741,0,1,0,0,1,2024,,
1255,900980,RALPH MCGILL BLVD @ 542,Sign on Post,33.763901,-84.369659,0,1,0,0,1,2016,,
1260,901009,CAMERON M ALEXANDER BLVD @ JAMES P BRAWLEY DR,Shelter,33.76818,-84.412688,1,1,1,1,1,2022,,
1272,901041,RALPH MCGILL BLVD NE @ 697,Sign on Post,33.76476,-84.365148,0,1,0,0,1,2021,,
1276,901060,RALPH D ABERNATH BLVD @ CENTRAL AVE,Sign Strapped to Pole,33.736936,-84.393252,0,1,0,0,1,2025,,
1277,901071,RALPH MCGILL BLVD NE @ ASHLEY AVE NE,Sign on Post,33.765853,-84.363518,0,1,1,1,1,2025,,
1278,901074,RALPH MCGILL BLVD NE @ FORTUNE ST NE,Sign on Post,33.764041,-84.366447,0,1,0,0,1,2019,,
1280,901076,RALPH MCGILL BLVD NE@WILLOUGHBY WAY,Sign on Post,33.763999,-84.366475,0,1,0,0,1,2025,,
1282,901093,CAMERON M ALEXANDER BLVD @ J P BRAWLEY DR,Sign on Post,33.768261,-84.412482,0,1,0,0,1,2014,,
1287,901101,MORELAND AVE SE @ FAITH AVE SE,Sign Strapped to Pole,33.743426,-84.349323,0,1,0,0,1,2024,,
1292,901148,RALPH MCGILL BLVD NE@COURTLAND ST,Sign Strapped to Pole,33.76432,-84.38319,0,1,0,0,1,2025,,
1299,901230,10TH ST NE @ PIEDMONT AVE NE,Simme Seat,33.781751,-84.380535,0,1,0,1,1,2025,,
1304,901244,WINN WAY @ 460,Sign on Post,33.787636,-84.279392,0,1,0,0,1,2025,,
1310,901272,JOHN LEWIS FREEDOM PKWY NE @ CARTER CENTER ENTR,Shelter,33.76878,-84.354698,1,1,1,1,1,2025,,
1314,901286,PEACHTREE ST @ ELLIS ST,Sign Strapped to Pole,33.75822,-84.387699,0,1,0,1,1,2025,,
1315,901287,PEACHTREE ST @ BAKER ST,Sign Strapped to Pole,33.762631,-84.387209,0,1,0,1,1,2025,,
1320,901352,JOSEPH E BOONE BLVD @ VINE ST NW,Bench,33.763505,-84.407634,0,1,1,1,1,2025,,
1322,901355,JOSEPH E BOONE BLVD NW @ GRIFFIN ST NW,Shelter,33.763241,-84.411346,0,1,0,1,1,2025,,
1323,901357,RALPH MCGILL BLVD NE@760,Sign on Post,33.766981,-84.362442,0,1,0,0,1,2025,,
1327,901376,PEACHTREE ST NW @ POPLAR ST,Sign Strapped to Pole,33.75563,-84.38884,0,1,0,1,1,2025,,
1331,901441,HOWELL MILL RD NW @ 14TH ST NW,Simme Seat,33.785957,-84.411749,0,1,1,1,1,2025,,
1344,901718,HOWELL MILL RD NW@TRABERT AVE NW,Sign on Post,33.793335,-84.41417,0,1,1,0,1,2025,,
1347,901728,N DECATUR RD NE @ PRINCETON WAY,Sign on Post,33.792075,-84.31203,0,1,0,0,1,2024,,
1348,901729,N DECATUR RD @ HAYGOOD DR,Sign on Post,33.79208,-84.314682,0,1,0,0,1,2024,,
1354,901748,N DECATUR RD @ 2787,Sign on Post,33.792962,-84.28002,0,1,0,0,1,2024,,
1355,901750,LAWRENCEVILLE HWY @ JORDAN LN,Sign on Post,33.801635,-84.279493,0,1,0,0,1,2025,,
1356,901757,PIEDMONT RD NE @ DARLINGTON RD,Sign on Post,33.831619,-84.368001,0,1,0,0,1,2024,,
1357,901762,PEACHTREE RD NE @ E SHADOWLAWN AVE,Sign on Post,33.841644,-84.37426,0,1,0,0,1,2024,,
1358,901763,PEACHTREE RD NW @ 3180,Sign on Post,33.841171,-84.375565,0,1,0,0,1,2024,,
1359,901764,PEACHTREE RD @ MATHIESON DR NE,Bench,33.840422,-84.377246,0,1,1,1,1,2024,,
1362,901813,CHURCH ST @ GLENLAKE COMMONS DR,Sign on Post,33.785504,-84.291787,0,1,0,0,1,2024,,
1363,901853,CHURCH ST @ FORKNER DR,Sign on Post,33.786593,-84.290171,0,1,0,0,1,2024,,
1364,901854,WINN WAY @ 455,Shelter,33.788057,-84.27924,1,1,1,1,1,2024,,
1365,901855,CHURCH ST @ 1391,Sign on Post,33.788307,-84.288651,0,1,0,0,1,2024,,
1370,901911,W MARIETTA ST NW @ LONGLEY AVE NW,Sign on Post,33.785523,-84.423791,0,1,0,0,1,2025,,
1376,902133,MONROE DR NE@PARK DR NE,Sign on Post,33.785946,-84.367485,0,1,0,0,1,2024,,
1378,902253,N HIGHLAND AVE NE @ AMSTERDAM AVE,Sign on Post,33.787579,-84.355296,0,1,0,0,1,2024,,
1379,902254,N HIGHLAND AVE NE @ MCLYNN AVE NE,Sign on Post,33.788418,-84.355362,0,1,0,0,1,2024,,
1382,902360,PONCE DE LEON AVE NE @ FAIRVIEW RD NE,Sign on Post,33.773852,-84.337326,0,1,0,0,1,2025,,
1385,902385,PEACHTREE ST @ 3RD ST NE,Sign Strapped to Pole,33.773846,-84.384873,0,1,0,0,1,2025,,
1390,902393,PEACHTREE ST @ PEACHTREE PL,Sign Strapped to Pole,33.780929,-84.384181,0,1,0,1,1,2025,,
1395,902457,PEACHTREE ST NE @ PEACHTREE ST NW,Sign on Post,33.795055,-84.387924,0,1,0,0,1,2025,,
1396,902485,PEACHTREE ST NE @ 16TH ST NE,Sign on Post,33.790691,-84.385229,0,1,0,0,1,2024,,
1398,902489,PEACHTREE ST NE @ 16TH ST NE,Bench,33.790215,-84.384773,0,1,0,0,1,2025,,
1399,902490,PEACHTREE ST NE@17TH ST NE,Sign Strapped to Pole,33.792347,-84.386177,0,1,0,1,1,2025,,
1400,902491,PEACHTREE ST NE@W PEACHTREE ST NW,Sign Strapped to Pole,33.794458,-84.387505,0,1,0,0,1,2025,,
1401,902492,PEACHTREE ST NW @ PEACHTREE CIR NE,Shelter,33.795555,-84.387615,0,1,0,0,1,2025,,
1402,902512,PEACHTREE ST NE @ 17TH ST NE,Shelter,33.792489,-84.386405,0,1,1,1,1,2025,,
1407,902517,PEACHTREE ST NE@SPRING ST NW,Sign Strapped to Pole,33.797304,-84.388911,0,1,0,0,1,2025,,
1410,902525,N HIGHLAND AVE NE @ GLEN ARDEN WAY,Sign on Post,33.784938,-84.354925,0,1,0,0,1,2024,,
1420,902653,HAYNES BRIDGE RD @ WESTSIDE PKWY,Sign on Post,34.061055,-84.289146,0,1,0,0,1,2024,,
1428,902702,ROSWELL RD NE @ SANDY SPRINGS CIR NE,Shelter,33.927011,-84.379415,1,1,1,1,1,2024,,
1914,905001,VIRGINIA AVE NE@MONROE DR NE,Sign on Post,33.780655,-84.368767,0,1,0,0,1,2024,,
1928,905049,PONCE DE LEON AVE NE @ MYRTLE ST NE,Sign on Post,33.772514,-84.379995,0,1,0,0,1,2025,,
1933,905074,COMMERCE DR @ W TRINITY PL,Sign on Post,33.772485,-84.298931,0,1,0,1,1,2022,,
1934,905075,W HOWARD AVE @ GREENWOOD CIR,Sign on Post,33.76814,-84.30296,0,1,0,0,1,2024,,
1947,905102,CLAIREMONT AVE @ MICHIGAN AVE,Sign on Post,33.781943,-84.299105,0,1,0,0,1,2024,,
1958,905129,NORTH AVE NE @ BOULEVARD NE,Sign on Post,33.771048,-84.372206,0,1,0,0,1,2025,,
1959,905142,MARIETTA ST NW@HAMPTON ST NW,Sign on Post,33.777245,-84.408516,0,1,0,1,1,2025,,
1962,905146,N HIGHLAND AVE NE @ VIRGINIA AVE NE,Sign on Post,33.78212,-84.354118,0,1,0,0,1,2024,,
1963,905148,E LAKE DR @ 3RD AVE,Sign on Post,33.76297,-84.311035,0,1,0,0,1,2024,,
1967,905161,CENTENNIAL OLYMPIC PARK DR @ NORTH AVE NW,Sign Strapped to Pole,33.770915,-84.391944,0,1,0,0,1,2024,,
1969,905172,PIEDMONT RD NE @ 3525,Sign on Post,33.849936,-84.37747,0,1,0,0,1,2024,,
1972,905409,PIEDMONT RD NE @ CARSON LN NE,Sign Strapped to Pole,33.848452,-84.374182,0,1,0,0,1,2024,,
1973,905410,PIEDMONT RD NE @ TOWER PLACE DR NE,Shelter,33.84651,-84.372831,0,1,1,0,1,2024,,
1977,905433,N DECATUR RD @ SCOTT BLVD,Sign on Post,33.793506,-84.290441,0,1,0,0,1,2025,,
1978,905434,N DECATUR RD @ CHURCH ST,Bench,33.792338,-84.285664,0,1,1,1,1,2019,,
1979,905435,N DECATUR RD @ WEBSTER DR,Sign on Post,33.790405,-84.304222,1,1,1,1,1,2014,,
1982,905505,N DECATUR RD @ SCOTT BLVD,Bench,33.793225,-84.289167,0,1,1,1,1,2023,,
